idUsuario,nome,estado,telefone,dataNascimento,cidade,email,apelido,pais,foto,nivel,numeroAvaliacoes,IDTipoGeneroFK,IDFonteFK
127949,renata,NULL,NULL,NULL,NULL,NULL,renata,NULL,https://tiagodemelo.info/logomarcas/padrao.png,NULL,NULL,1,8
128042,ricardo,NULL,NULL,NULL,NULL,NULL,ricardo,NULL,https://tiagodemelo.info/logomarcas/padrao.png,NULL,NULL,2,8
224924,décio,NULL,NULL,NULL,NULL,NULL,décio,NULL,https://tiagodemelo.info/logomarcas/padrao.png,NULL,NULL,3,8
275887,julliandra,NULL,NULL,NULL,NULL,NULL,julliandra,NULL,https://tiagodemelo.info/logomarcas/padrao.png,NULL,NULL,3,8
194550,andersson,NULL,NULL,NULL,NULL,NULL,andersson,NULL,https://tiagodemelo.info/logomarcas/padrao.png,NULL,NULL,3,8
275886,maíllo,NULL,NULL,NULL,NULL,NULL,maíllo,NULL,https://tiagodemelo.info/logomarcas/padrao.png,NULL,NULL,3,8
143462,lucia,NULL,NULL,NULL,NULL,NULL,lucia,NULL,https://tiagodemelo.info/logomarcas/padrao.png,NULL,NULL,1,8
128059,breno,NULL,NULL,NULL,NULL,NULL,breno,NULL,https://tiagodemelo.info/logomarcas/padrao.png,NULL,NULL,3,8
128348,vitória,NULL,NULL,NULL,NULL,NULL,vitória,NULL,https://tiagodemelo.info/logomarcas/padrao.png,NULL,NULL,1,8
128562,silvana,NULL,NULL,NULL,NULL,NULL,silvana,NULL,https://tiagodemelo.info/logomarcas/padrao.png,NULL,NULL,1,8
128476,luciano,NULL,NULL,NULL,NULL,NULL,luciano,NULL,https://tiagodemelo.info/logomarcas/padrao.png,NULL,NULL,3,8
128369,ellen,NULL,NULL,NULL,NULL,NULL,ellen,NULL,https://tiagodemelo.info/logomarcas/padrao.png,NULL,NULL,1,8
139256,jeane,NULL,NULL,NULL,NULL,NULL,jeane,NULL,https://tiagodemelo.info/logomarcas/padrao.png,NULL,NULL,1,8
128334,ivania,NULL,NULL,NULL,NULL,NULL,ivania,NULL,https://tiagodemelo.info/logomarcas/padrao.png,NULL,NULL,3,8
145348,shirley,NULL,NULL,NULL,NULL,NULL,shirley,NULL,https://tiagodemelo.info/logomarcas/padrao.png,NULL,NULL,3,8
